person_id,post_id
260,1
834,1
353,1
346,1
776,2
672,2
509,2
758,2
320,3
915,3
77,3
3,3
143,3
738,4
829,4
67,5
957,5
612,6
722,6
629,6
283,7
368,9
437,9
400,9
973,10
613,10
227,11
60,11
644,12
718,12
749,12
349,12
444,13
463,13
357,13
962,13
375,14
373,14
797,15
517,15
189,16
460,16
654,16
742,17
89,17
467,17
160,17
400,17
371,18
415,19
376,19
27,19
266,19
392,19
680,20
44,20
85,20
302,20
880,20
670,21
944,21
6,22
839,22
388,22
522,23
664,23
979,23
985,23
432,23
882,23
185,23
525,24
456,24
797,24
828,25
106,25
898,25
6,25
4,25
992,25
654,25
555,26
614,26
61,26
689,26
279,26
996,26
824,27
778,27
103,27
8,28
484,29
418,29
173,29
197,29
360,30
892,30
812,30
676,31
166,31
144,31
186,32
180,32
570,32
159,32
291,33
14,33
549,33
285,33
483,33
335,33
367,34
621,34
606,34
610,34
305,34
33,35
2,35
770,36
568,36
275,36
464,37
620,37
822,37
119,37
105,38
722,38
119,38
959,38
253,39
356,39
684,39
31,39
846,39
874,39
969,39
793,39
799,40
967,40
454,40
950,41
150,41
169,41
785,41
659,41
846,42
8,42
811,43
952,43
448,43
959,44
681,44
369,44
980,45
502,45
570,45
42,45
614,45
778,45
131,46
949,46
554,47
872,47
75,47
25,47
295,48
932,48
888,48
730,48
966,49
338,49
249,49
893,50
778,50
130,50
806,51
781,51
523,51
780,51
929,51
98,51
481,52
570,52
420,52
820,52
466,52
295,53
751,53
905,53
180,54
88,54
657,55
523,55
229,56
353,58
510,58
935,58
573,58
658,58
728,59
992,59
26,59
690,59
600,60
792,60
119,60
684,60
150,60
100,60
228,61
844,61
677,61
456,63
246,64
842,64
738,64
413,65
611,65
590,65
15,65
327,65
834,65
340,65
566,65
505,66
804,66
382,66
607,67
586,67
314,67
715,67
787,67
192,68
590,68
917,68
755,68
1,68
855,68
430,68
618,69
988,69
441,69
581,69
368,70
916,70
157,71
440,73
16,73
387,73
340,74
431,74
471,74
247,74
240,75
464,75
775,75
280,75
85,76
409,77
326,77
148,77
455,77
425,77
96,77
949,77
71,78
307,78
602,78
921,78
566,79
60,79
144,79
367,79
226,79
651,79
491,80
741,80
409,80
631,80
629,80
165,81
656,81
628,81
870,81
471,82
793,82
858,83
511,83
881,83
932,83
832,84
10,84
545,84
289,84
692,84
189,85
247,85
762,85
145,85
923,85
257,85
179,85
786,86
281,86
82,86
466,86
727,87
130,87
316,87
114,87
738,87
339,87
408,88
615,89
111,89
336,89
548,89
347,89
323,89
470,89
289,89
30,90
394,90
179,90
855,90
511,90
577,91
285,92
169,92
378,92
464,92
63,93
245,93
782,93
636,94
814,94
347,94
692,94
615,95
299,95
368,95
186,95
954,95
228,95
551,96
944,96
830,96
143,96
538,96
397,97
232,97
849,98
144,98
620,98
446,98
402,99
189,99
927,99
903,99
454,100
162,100
102,100
498,101
143,102
850,102
135,102
28,103
310,103
90,103
418,103
476,103
927,105
123,105
368,105
922,106
416,106
392,107
855,108
6,108
406,109
227,109
770,110
34,110
995,110
221,110
125,110
860,110
237,110
601,111
161,111
513,111
961,112
842,112
367,112
8,112
190,112
155,112
47,113
429,113
98,113
688,113
246,114
659,114
250,114
217,115
383,115
634,115
87,116
619,116
64,116
3,116
60,117
662,117
23,117
189,117
726,117
596,117
386,118
150,118
189,119
862,119
694,120
288,120
717,121
505,121
66,121
527,121
758,121
378,121
3,122
745,122
461,123
594,123
637,123
832,123
921,123
147,123
799,124
353,124
745,124
824,124
223,125
140,125
761,125
240,125
85,125
480,126
477,126
939,126
801,126
548,126
787,126
78,127
292,127
340,127
295,128
858,128
251,129
455,129
14,129
802,129
758,129
776,130
362,130
201,130
694,130
630,130
717,131
935,131
107,131
943,131
83,131
439,132
349,134
60,134
353,134
182,134
675,134
483,134
664,134
918,135
778,135
429,135
590,136
164,136
568,136
89,136
842,137
718,137
664,137
329,137
679,138
76,138
817,138
739,139
640,139
62,139
160,139
117,140
401,140
490,140
642,140
561,141
697,141
950,141
453,141
490,142
648,142
438,142
210,142
344,142
252,142
139,143
155,143
204,143
701,143
600,144
160,145
74,145
890,145
142,145
738,146
292,147
663,147
525,147
377,147
425,147
86,148
293,148
867,148
156,148
621,149
320,149
198,149
23,149
42,149
30,149
851,150
345,150
792,150
931,150
252,150
584,151
771,151
551,151
895,152
250,153
720,153
266,154
448,154
353,154
614,155
675,155
390,156
628,157
774,158
988,158
549,158
731,158
265,158
106,159
503,159
675,159
568,159
207,159
821,159
700,159
509,159
423,159
350,160
918,160
216,160
942,161
537,161
143,161
43,161
684,162
892,162
32,162
835,162
398,162
824,162
362,163
168,163
718,163
439,163
403,163
887,164
813,164
898,164
226,165
893,165
909,165
378,165
66,165
825,165
287,166
324,166
966,166
354,166
226,167
986,167
828,167
932,167
255,167
689,169
402,169
322,169
953,169
421,170
267,170
542,170
452,170
524,171
169,172
286,172
834,172
822,173
592,173
295,173
726,173
377,173
851,173
641,174
142,174
323,174
6,174
982,174
424,175
593,175
133,175
994,175
582,175
952,176
342,176
880,177
113,177
147,177
839,177
785,178
130,178
729,180
505,180
184,180
612,180
720,182
23,182
629,182
452,182
599,182
797,182
221,182
264,183
702,183
75,184
135,184
590,184
113,184
309,184
448,184
890,185
5,186
191,186
151,186
807,186
201,187
300,187
878,188
707,188
958,188
876,188
717,188
685,189
748,189
354,190
996,190
505,190
741,191
581,191
383,193
120,193
885,193
533,193
470,194
25,194
209,194
236,195
666,195
626,195
543,195
138,195
96,195
862,196
970,196
967,196
971,197
148,197
793,197
249,197
198,197
456,197
711,198
721,200
277,200
325,200
66,200
735,200
945,200
405,201
500,201
410,201
785,201
202,202
417,202
646,202
225,203
688,203
144,203
828,204
533,204
437,204
206,204
5,204
116,204
69,205
846,206
156,206
28,206
842,206
972,206
862,206
51,206
913,206
910,207
738,207
693,207
275,208
130,209
398,209
837,209
557,210
209,210
210,210
771,211
218,211
434,211
870,211
463,211
692,211
591,211
391,211
24,211
962,212
708,212
554,212
620,212
416,212
511,212
742,213
758,213
654,213
