person_id,friend_id
1783,6351
2743,8379
3108,6814
5415,8098
8829,9208
57,4066
2118,6075
6383,8489
1268,3461
4234,4381
3952,5449
555,7726
3521,8646
3891,7425
743,4744
700,7326
8549,8787
2610,9139
3063,3257
3257,6506
5533,6225
664,4636
6610,9592
7329,8525
2200,4545
7303,7304
6021,9197
4027,6158
2406,4421
3125,7518
2683,7173
3216,9888
6984,9244
764,5971
3658,3817
6170,6287
7856,9173
1151,1721
1288,8600
7718,9239
161,982
193,9565
4494,7472
4823,6250
60,3559
1209,8492
2489,6526
5099,5367
6129,6636
8503,9142
2920,6712
833,3482
843,4170
8057,9055
1771,7414
670,5181
1115,5797
1829,4386
2194,2821
583,5936
2285,2939
829,2959
1763,3766
6150,7863
4715,8760
3373,3432
551,736
6296,6934
4773,5732
3584,7816
4864,5850
4535,7072
3654,9309
3382,4649
8700,9282
2225,4736
353,3380
72,886
261,3791
7296,8711
3086,6758
2655,7703
4758,5050
1184,6691
8066,8363
652,9082
3548,8509
2682,9526
246,1978
2830,6014
4511,8556
712,1219
1871,6840
7245,8372
7682,8373
461,819
5937,9044
6240,6601
4132,8910
6893,7166
7113,9384
6989,7628
1051,7451
2104,5506
1688,4130
519,7590
2878,9064
3072,5897
1565,5228
1632,6450
3371,5964
7579,7844
6118,7520
5084,6509
2723,4962
7487,8255
2771,7662
37,649
658,3211
976,8216
346,7820
38,3503
1720,8899
6176,7875
2623,3977
6157,9353
2955,7190
1124,8087
7647,8917
998,8914
439,814
6165,7716
4883,9609
7011,8676
3520,5656
3818,9285
2295,8083
9313,9616
9365,9806
1529,2888
4227,7992
1732,2493
424,9581
520,3627
3859,8505
2300,5394
2608,3295
3188,5856
3064,4100
1023,1215
4350,9496
2884,8828
2982,5199
3546,7227
7366,9025
516,3104
177,3638
7709,9364
4557,9974
1630,2566
599,1826
4707,5754
70,8652
30,9253
61,4402
252,964
3092,9127
819,9679
2593,8248
5260,7623
3861,8177
3553,3860
7505,8029
1316,4069
3367,5390
3086,5148
2083,5702
2559,5631
558,8591
7435,9919
4358,5950
2897,5626
3164,3526
2614,9475
5656,7973
1544,2391
4415,9867
3627,8131
179,2529
3534,5688
1451,3331
3063,9486
1007,1405
4274,8881
3221,4410
2842,7797
8886,9124
3282,8069
2313,8207
7323,8523
1072,3685
4802,8219
1006,5317
2145,3146
653,7673
1183,3701
2275,8100
5738,9826
470,1550
2116,7289
4172,4790
3052,5513
6913,7312
1064,5672
1613,6668
2898,5046
1828,4378
6038,6331
6607,8703
649,7150
926,5738
526,8248
593,3054
2202,4030
3788,4800
4060,7208
7838,9504
2762,8568
6218,8369
6146,6803
2753,4318
46,7796
3594,4934
1111,1704
302,3255
429,5282
665,1617
97,2099
4024,7901
6331,9185
101,9388
5670,7224
2060,6956
3113,5011
7383,7769
1651,5216
6,2331
2251,2737
2676,8393
9357,9782
6476,9135
427,1048
1354,7854
1396,4293
4591,6039
3358,8548
5923,7646
4097,8887
919,4112
4057,9488
2720,4504
545,5591
1510,7963
3155,4432
4705,9709
1411,7957
126,3163
65,5139
7754,9351
2181,7609
926,7161
776,4184
115,8639
1653,4457
4910,7081
7212,8021
1489,3302
2581,7701
3720,5530
1240,5227
3315,7696
3623,5597
2260,5808
2721,6957
670,3384
1692,6290
2127,6218
9172,9574
103,304
3874,6347
820,3328
3091,9119
3686,6296
6490,8386
3971,9663
1726,2841
661,2517
728,3739
6454,6477
7844,8089
8341,8895
221,7880
8691,9651
1153,2198
1533,1665
2403,5685
7809,8253
1219,3949
4944,8139
534,3092
1717,7609
1211,8969
3358,6588
591,7009
4820,7514
2363,5505
4032,5778
7958,8726
3467,4279
3979,6117
863,8636
2165,8149
1566,2902
729,9575
5144,8550
3499,5665
3093,4977
5338,9547
5677,9013
1935,2210
1883,2020
7363,7735
888,7353
7323,8336
3555,6728
2720,9310
4709,5589
4246,4367
1408,6076
1181,3441
5606,7268
1557,5418
2992,4521
3699,9109
3771,4259
2429,5347
6756,8639
3929,5599
407,7430
935,9801
6811,9100
4977,9726
3982,8643
1797,9042
1525,4382
269,7496
649,6963
2428,5876
864,4673
8362,8563
6531,9460
8453,8681
5316,6159
4566,5661
2864,8658
2353,9674
2014,3792
6926,9989
2449,3720
1162,5269
5310,6344
5649,5810
1855,2981
4279,5604
6746,8301
5063,9850
1133,9412
4598,7047
5553,8731
5895,6216
2075,4418
5399,8264
8797,8841
979,2529
4926,6354
146,8944
4081,8248
4091,8936
3905,6302
49,9011
1713,2524
2932,8950
2707,4136
8663,9780
1373,5839
2400,2673
2902,3823
6317,7787
2738,9084
2461,4080
2651,9839
4860,8336
3790,7668
1057,9925
5040,6991
3174,8833
1293,9643
1205,7544
2165,9572
119,6343
262,2487
1913,8570
6923,8886
6826,8953
2760,3716
3001,6811
4436,5914
6201,8901
1565,1821
5238,9985
1064,3525
7406,8481
3674,8782
4238,4394
5022,8640
944,9058
6100,8445
8097,9503
2925,8105
2524,7761
5724,9851
5875,9266
1864,8654
501,4701
7273,9241
7921,9462
741,8325
1491,2407
952,8545
3106,6581
1446,2664
2220,8474
4004,7731
5455,7367
2347,4085
2968,6647
7613,8528
1388,2659
4901,9410
2912,6715
2752,5302
7136,9128
9039,9797
5926,6171
4675,7377
5055,6844
1621,4358
4336,7911
3315,7859
1498,5456
4323,6171
3421,7531
1062,6057
1958,7134
4511,9605
7933,9822
8597,9802
2174,5446
2117,4912
2619,6062
6093,6469
8553,8749
5155,5920
313,1216
805,8094
2512,5441
2663,4856
5964,7752
4011,4714
4620,6515
4057,7341
4616,9025
4256,4518
5985,9760
1919,4523
453,3855
1688,8562
6144,7538
165,7360
7052,9376
232,2166
8451,8822
1844,1905
3339,8229
1477,7561
350,6359
12,9747
6540,6757
1536,7387
3248,5078
3735,5196
3929,8445
244,2176
9837,9911
4023,5074
3243,8117
7842,9653
5970,8297
